Timestamp,Av_Speed_t2
2010/1/3 00:30,72
2010/1/3 00:35,72.4
2010/1/3 00:40,72.6
2010/1/3 00:45,72.4
2010/1/3 00:50,73
2010/1/3 00:55,73.5
2010/1/3 01:00,73.1
2010/1/3 01:05,72.6
2010/1/3 01:10,72.8
2010/1/3 01:15,72.1
2010/1/3 01:20,72.1
2010/1/3 01:25,71.9
2010/1/3 01:30,71.6
2010/1/3 01:35,70.8
2010/1/3 01:40,70.9
2010/1/3 01:45,70.3
2010/1/3 01:50,70.3
2010/1/3 01:55,70.5
2010/1/3 02:00,69.8
2010/1/3 02:05,69.8
2010/1/3 02:10,70.6
2010/1/3 02:15,70.3
2010/1/3 02:20,69.5
2010/1/3 02:25,69.9
2010/1/3 02:30,69.8
2010/1/3 02:35,69.8
2010/1/3 02:40,70.8
2010/1/3 02:45,70.5
2010/1/3 02:50,70.3
2010/1/3 02:55,70.3
2010/1/3 03:00,70.5
2010/1/3 03:05,70.3
2010/1/3 03:10,71
2010/1/3 03:15,71
2010/1/3 03:20,71.4
2010/1/3 03:25,71
2010/1/3 03:30,71
2010/1/3 03:35,71.1
2010/1/3 03:40,71.2
2010/1/3 03:45,71.6
2010/1/3 03:50,71.8
2010/1/3 03:55,71.2
2010/1/3 04:00,71.8
2010/1/3 04:05,71.9
2010/1/3 04:10,71.3
2010/1/3 04:15,71.5
2010/1/3 04:20,71.4
2010/1/3 04:25,71.4
2010/1/3 04:30,71.6
2010/1/3 04:35,71.7
2010/1/3 04:40,72.1
2010/1/3 04:45,71.7
2010/1/3 04:50,72.3
2010/1/3 04:55,72.1
2010/1/3 05:00,71.2
2010/1/3 05:05,71
2010/1/3 05:10,72
2010/1/3 05:15,72
2010/1/3 05:20,72.4
2010/1/3 05:25,72.2
2010/1/3 05:30,71.9
2010/1/3 05:35,72.1
2010/1/3 05:40,72.1
2010/1/3 05:45,72
2010/1/3 05:50,72.8
2010/1/3 05:55,72.5
2010/1/3 06:00,72
2010/1/3 06:05,73.1
2010/1/3 06:10,73
2010/1/3 06:15,73.2
2010/1/3 06:20,72.8
2010/1/3 06:25,71.6
2010/1/3 06:30,72.5
2010/1/3 06:35,71.8
2010/1/3 06:40,72.1
2010/1/3 06:45,72.3
2010/1/3 06:50,72.6
2010/1/3 06:55,73
2010/1/3 07:00,73.4
2010/1/3 07:05,73.2
2010/1/3 07:10,72.9
2010/1/3 07:15,72.1
2010/1/3 07:20,72.1
2010/1/3 07:25,72.8
2010/1/3 07:30,72.6
2010/1/3 07:35,72.6
2010/1/3 07:40,72.4
2010/1/3 07:45,73.1
2010/1/3 07:50,73.2
2010/1/3 07:55,73.3
2010/1/3 08:00,73.2
2010/1/3 08:05,72.8
2010/1/3 08:10,73.1
2010/1/3 08:15,72.4
2010/1/3 08:20,72.3
2010/1/3 08:25,72.2
2010/1/3 08:30,72.2
2010/1/3 08:35,72.7
2010/1/3 08:40,73.5
2010/1/3 08:45,72.8
2010/1/3 08:50,72.6
2010/1/3 08:55,72.1
2010/1/3 09:00,70.7
2010/1/3 09:05,71.5
2010/1/3 09:10,71.8
2010/1/3 09:15,72.2
2010/1/3 09:20,71.8
2010/1/3 09:25,71.9
2010/1/3 09:30,71.6
2010/1/3 09:35,72.1
2010/1/3 09:40,70.7
2010/1/3 09:45,71.9
2010/1/3 09:50,71.7
2010/1/3 09:55,71.8
2010/1/3 10:00,71.4
2010/1/3 10:05,71.6
2010/1/3 10:10,69.8
2010/1/3 10:15,70.5
2010/1/3 10:20,71.3
2010/1/3 10:25,71.7
2010/1/3 10:30,70.8
2010/1/3 10:35,70.4
2010/1/3 10:40,70.5
2010/1/3 10:45,70
2010/1/3 10:50,71.3
2010/1/3 10:55,70.9
2010/1/3 11:00,70.4
2010/1/3 11:05,69.7
2010/1/3 11:10,70.5
2010/1/3 11:15,69.4
2010/1/3 11:20,69.5
2010/1/3 11:25,69.4
2010/1/3 11:30,70.1
2010/1/3 11:35,70.3
2010/1/3 11:40,70
2010/1/3 11:45,68.3
2010/1/3 11:50,69.1
2010/1/3 11:55,69.9
2010/1/3 12:00,70.1
2010/1/3 12:05,69.7
2010/1/3 12:10,69.8
2010/1/3 12:15,69.4
2010/1/3 12:20,68.9
2010/1/3 12:25,67
2010/1/3 12:30,66.2
2010/1/3 12:35,68.3
2010/1/3 12:40,68.5
2010/1/3 12:45,69.8
2010/1/3 12:50,69.8
2010/1/3 12:55,69
2010/1/3 13:00,68.6
2010/1/3 13:05,68.3
2010/1/3 13:10,68.6
2010/1/3 13:15,69.7
2010/1/3 13:20,69
2010/1/3 13:25,68.9
2010/1/3 13:30,68.1
2010/1/3 13:35,68.6
2010/1/3 13:40,69.2
2010/1/3 13:45,68.2
2010/1/3 13:50,69.2
2010/1/3 13:55,69.8
2010/1/3 14:00,70.5
2010/1/3 14:05,71.2
2010/1/3 14:10,69.8
2010/1/3 14:15,69.6
2010/1/3 14:20,69.6
2010/1/3 14:25,69.2
2010/1/3 14:30,69.3
2010/1/3 14:35,69.3
2010/1/3 14:40,68.2
2010/1/3 14:45,69.8
2010/1/3 14:50,69.9
2010/1/3 14:55,69.9
2010/1/3 15:00,70.2
2010/1/3 15:05,69.8
2010/1/3 15:10,70.7
2010/1/3 15:15,70.5
2010/1/3 15:20,69.5
2010/1/3 15:25,68.9
2010/1/3 15:30,70
2010/1/3 15:35,71.1
2010/1/3 15:40,69.6
2010/1/3 15:45,69.2
2010/1/3 15:50,69.6
2010/1/3 15:55,69.9
2010/1/3 16:00,69.3
2010/1/3 16:05,68.5
2010/1/3 16:10,68.4
2010/1/3 16:15,67.3
2010/1/3 16:20,66.5
2010/1/3 16:25,65.2
2010/1/3 16:30,66.7
2010/1/3 16:35,67.3
2010/1/3 16:40,67
2010/1/3 16:45,67.5
2010/1/3 16:50,66.4
2010/1/3 16:55,66.6
2010/1/3 17:00,66.2
2010/1/3 17:05,66.1
2010/1/3 17:10,65.1
2010/1/3 17:15,64.2
2010/1/3 17:20,63
2010/1/3 17:25,63.5
2010/1/3 17:30,63.8
2010/1/3 17:35,64.4
2010/1/3 17:40,62.7
2010/1/3 17:45,61.5
2010/1/3 17:50,62.6
2010/1/3 17:55,61.9
2010/1/3 18:00,62.5
2010/1/3 18:05,63.1
2010/1/3 18:10,63
2010/1/3 18:15,61.6
2010/1/3 18:20,61.5
2010/1/3 18:25,61
2010/1/3 18:30,61.8
2010/1/3 18:35,61
2010/1/3 18:40,61.3
2010/1/3 18:45,62.9
2010/1/3 18:50,64.5
2010/1/3 18:55,66.4
2010/1/3 19:00,68.5
2010/1/3 19:05,68.6
2010/1/3 19:10,68.8
2010/1/3 19:15,70
2010/1/3 19:20,70.7
2010/1/3 19:25,70.3
2010/1/3 19:30,69.8
2010/1/3 19:35,70.2
2010/1/3 19:40,69.6
2010/1/3 19:45,67.8
2010/1/3 19:50,67.6
2010/1/3 19:55,69.4
2010/1/3 20:00,69.6
2010/1/3 20:05,69.2
2010/1/3 20:10,68.3
2010/1/3 20:15,69
2010/1/3 20:20,69.2
2010/1/3 20:25,69.9
2010/1/3 20:30,69.6
2010/1/3 20:35,69.6
2010/1/3 20:40,70
2010/1/3 20:45,70.4
2010/1/3 20:50,69.8
2010/1/3 20:55,70.6
2010/1/3 21:00,70.9
2010/1/3 21:05,69.5
2010/1/3 21:10,70
2010/1/3 21:15,70.8
2010/1/3 21:20,70.5
2010/1/3 21:25,70.2
2010/1/3 21:30,70.3
2010/1/3 21:35,70.1
2010/1/3 21:40,70.6
2010/1/3 21:45,70.5
2010/1/3 21:50,69.7
2010/1/3 21:55,69.6
2010/1/3 22:00,69.7
2010/1/3 22:05,68.6
2010/1/3 22:10,70.2
2010/1/3 22:15,69.2
2010/1/3 22:20,69.9
2010/1/3 22:25,69.2
2010/1/3 22:30,69.3
2010/1/3 22:35,69
2010/1/3 22:40,68.5
2010/1/3 22:45,69.2
2010/1/3 22:50,70.6
2010/1/3 22:55,69.8
2010/1/4 00:05,69.7
2010/1/4 00:10,69.7
2010/1/4 00:15,69.6
2010/1/4 00:20,69.8
2010/1/4 00:25,69.4
2010/1/4 00:30,69.6
2010/1/4 00:35,69.9
2010/1/4 00:40,68.8
2010/1/4 00:45,67.2
2010/1/4 00:50,68
2010/1/4 00:55,67.8
2010/1/4 01:00,68.1
2010/1/4 01:05,65.2
2010/1/4 01:10,66.2
2010/1/4 01:15,66.1
2010/1/4 01:20,66.2
2010/1/4 01:25,66.4
2010/1/4 01:30,68.5
2010/1/4 01:35,64.9
2010/1/4 01:40,67.1
2010/1/4 01:45,65
2010/1/4 01:50,63.3
2010/1/4 01:55,64.8
2010/1/4 02:00,65.6
2010/1/4 02:05,64.8
2010/1/4 02:10,64.9
2010/1/4 02:15,64.7
2010/1/4 02:20,64.7
2010/1/4 02:25,67.9
2010/1/4 02:30,67.3
2010/1/4 02:35,66.6
2010/1/4 02:40,65.3
2010/1/4 02:45,65.6
2010/1/4 02:50,64.6
2010/1/4 02:55,65
2010/1/4 03:00,65.6
2010/1/4 03:05,64.9
2010/1/4 03:10,64.2
2010/1/4 03:15,63.1
2010/1/4 03:20,59.9
2010/1/4 03:25,61.3
2010/1/4 03:30,63
2010/1/4 03:35,61.9
2010/1/4 03:40,60.8
2010/1/4 03:45,61.7
2010/1/4 03:50,64.5
2010/1/4 03:55,62.7
2010/1/4 04:00,63.2
2010/1/4 04:05,63.3
2010/1/4 04:10,63.9
2010/1/4 04:15,63.3
2010/1/4 04:20,64.1
2010/1/4 04:25,65.4
2010/1/4 04:30,64.6
2010/1/4 04:35,66.7
2010/1/4 04:40,65.5
2010/1/4 04:45,66.4
2010/1/4 04:50,66.3
2010/1/4 04:55,66.4
2010/1/4 05:00,65.4
2010/1/4 05:05,64.9
2010/1/4 05:10,67.5
2010/1/4 05:15,65.7
2010/1/4 05:20,66.7
2010/1/4 05:25,65.9
2010/1/4 05:30,66
2010/1/4 05:35,66
2010/1/4 05:40,64.5
2010/1/4 05:45,65
2010/1/4 05:50,65.2
2010/1/4 05:55,65.6
2010/1/4 06:00,66
2010/1/4 06:05,66.2
2010/1/4 06:10,66.2
2010/1/4 06:15,67.1
2010/1/4 06:20,66.8
2010/1/4 06:25,67.6
2010/1/4 06:30,68.8
2010/1/4 06:35,67.2
2010/1/4 06:40,69.2
2010/1/4 06:45,67.7
2010/1/4 06:50,68.7
2010/1/4 06:55,68.2
