Timestamp,Station ID,Freeway,Direction of Travel,Station Type,Samples,% Observed,Total Flow,Average Occupancy,Average Speed,Lane 1 Samples,Lane 1 Flow,Lane 1 Average Occupancy,Lane 1 Average Speed,Lane 1 Observed,Lane 2 Samples,Lane 2 Flow,Lane 2 Average Occupancy,Lane 2 Average Speed,Lane 2 Observed,Lane 3 Samples,Lane 3 Flow,Lane 3 Average Occupancy,Lane 3 Average Speed,Lane 3 Observed,Lane 4 Samples,Lane 4 Flow,Lane 4 Average Occupancy,Lane 4 Average Speed,Lane 4 Observed,Lane 5 Samples,Lane 5 Flow,Lane 5 Average Occupancy,Lane 5 Average Speed,Lane 5 Observed,Lane 6 Samples,Lane 6 Flow,Lane 6 Average Occupancy,Lane 6 Average Speed,Lane 6 Observed,Lane 7 Samples,Lane 7 Flow,Lane 7 Average Occupancy,Lane 7 Average Speed,Lane 7 Observed,Lane 8 Samples,Lane 8 Flow,Lane 8 Average Occupancy,Lane 8 Average Speed,Lane 8 Observed
2010-01-01 00:00:00,1108687,5,N,ML,36,100,49,0.0104,68.7,9.0,7.0,0.0052,74.8,1,9.0,17.0,0.0143,71.0,1,9.0,14.0,0.0121,67.4,1,9.0,11.0,0.01,62.8,1,,,,,0,,,,,0,,,,,0,,,,,0
2010-01-01 00:05:00,1108687,5,N,ML,40,100,49,0.0097,69.1,10.0,3.0,0.002,75.0,1,10.0,15.0,0.0119,70.9,1,10.0,19.0,0.0151,68.6,1,10.0,12.0,0.0098,66.3,1,,,,,0,,,,,0,,,,,0,,,,,0
2010-01-01 00:10:00,1108687,5,N,ML,40,100,52,0.0103,70.7,10.0,5.0,0.0032,75.6,1,10.0,15.0,0.0112,71.5,1,10.0,15.0,0.0125,68.9,1,10.0,17.0,0.0144,70.0,1,,,,,0,,,,,0,,,,,0,,,,,0
2010-01-01 00:15:00,1108687,5,N,ML,40,100,66,0.0138,71.2,10.0,5.0,0.0037,75.5,1,10.0,19.0,0.0145,71.8,1,10.0,25.0,0.0198,70.0,1,10.0,17.0,0.017,70.9,1,,,,,0,,,,,0,,,,,0,,,,,0
2010-01-01 00:20:00,1108687,5,N,ML,40,100,74,0.015,71.8,10.0,7.0,0.0047,76.0,1,10.0,23.0,0.0179,71.7,1,10.0,25.0,0.021,69.9,1,10.0,19.0,0.0165,72.8,1,,,,,0,,,,,0,,,,,0,,,,,0
2010-01-01 00:25:00,1108687,5,N,ML,40,100,95,0.0204,71.4,10.0,12.0,0.009000000000000001,75.6,1,10.0,28.0,0.0219,71.6,1,10.0,38.0,0.0322,69.6,1,10.0,17.0,0.0184,72.4,1,,,,,0,,,,,0,,,,,0,,,,,0
2010-01-01 00:30:00,1108687,5,N,ML,40,100,114,0.0236,71.6,10.0,10.0,0.0068,76.1,1,10.0,35.0,0.0268,71.9,1,10.0,38.0,0.0324,69.2,1,10.0,31.0,0.0283,72.8,1,,,,,0,,,,,0,,,,,0,,,,,0
2010-01-01 00:35:00,1108687,5,N,ML,40,100,99,0.0199,71.6,10.0,16.0,0.012,75.6,1,10.0,35.0,0.0268,72.1,1,10.0,36.0,0.0306,68.9,1,10.0,12.0,0.0101,72.8,1,,,,,0,,,,,0,,,,,0,,,,,0
2010-01-01 00:40:00,1108687,5,N,ML,40,100,109,0.0219,72.1,10.0,13.0,0.0096,75.4,1,10.0,31.0,0.0236,72.4,1,10.0,37.0,0.0295,70.1,1,10.0,28.0,0.0248,72.8,1,,,,,0,,,,,0,,,,,0,,,,,0
2010-01-01 00:45:00,1108687,5,N,ML,40,100,154,0.031,72.2,10.0,28.0,0.0208,75.0,1,10.0,44.0,0.0348,71.7,1,10.0,48.0,0.0387,70.7,1,10.0,34.0,0.0296,72.8,1,,,,,0,,,,,0,,,,,0,,,,,0
2010-01-01 00:50:00,1108687,5,N,ML,40,100,103,0.0204,72.2,10.0,15.0,0.011000000000000001,75.0,1,10.0,37.0,0.0286,71.8,1,10.0,35.0,0.0279,71.2,1,10.0,16.0,0.0141,72.8,1,,,,,0,,,,,0,,,,,0,,,,,0
2010-01-01 00:55:00,1108687,5,N,ML,40,100,122,0.0245,72.0,10.0,19.0,0.0139,75.0,1,10.0,44.0,0.0351,71.1,1,10.0,32.0,0.0266,70.6,1,10.0,27.0,0.0226,72.8,1,,,,,0,,,,,0,,,,,0,,,,,0
2010-01-01 01:00:00,1108687,5,N,ML,40,100,117,0.0238,71.9,10.0,25.0,0.0186,74.7,1,10.0,34.0,0.0266,71.1,1,10.0,38.0,0.0311,70.4,1,10.0,20.0,0.0189,72.8,1,,,,,0,,,,,0,,,,,0,,,,,0
