,Average Speed,Average  Speed_t2
0,72.0,72.0
1,72.2,72.4
2,72.0,72.6
3,72.4,72.4
4,72.6,73.0
5,72.4,73.5
6,73.0,73.1
7,73.5,72.6
8,73.1,72.8
9,72.6,72.1
10,72.8,72.1
11,72.1,71.9
12,72.1,71.6
13,71.9,70.8
14,71.6,70.9
15,70.8,70.3
16,70.9,70.3
17,70.3,70.5
18,70.3,69.8
19,70.5,69.8
20,69.8,70.6
21,69.8,70.3
22,70.6,69.5
23,70.3,69.9
24,69.5,69.8
25,69.9,69.8
26,69.8,70.8
27,69.8,70.5
28,70.8,70.3
29,70.5,70.3
30,70.3,70.5
31,70.3,70.3
32,70.5,71.0
33,70.3,71.0
34,71.0,71.4
35,71.0,71.0
36,71.4,71.0
37,71.0,71.1
38,71.0,71.2
39,71.1,71.6
40,71.2,71.8
41,71.6,71.2
42,71.8,71.8
43,71.2,71.9
44,71.8,71.3
45,71.9,71.5
46,71.3,71.4
47,71.5,71.4
48,71.4,71.6
49,71.4,71.7
50,71.6,72.1
51,71.7,71.7
52,72.1,72.3
53,71.7,72.1
54,72.3,71.2
55,72.1,71.0
56,71.2,72.0
57,71.0,72.0
58,72.0,72.4
59,72.0,72.2
60,72.4,71.9
61,72.2,72.1
62,71.9,72.1
63,72.1,72.0
64,72.1,72.8
65,72.0,72.5
66,72.8,72.0
67,72.5,73.1
68,72.0,73.0
69,73.1,73.2
70,73.0,72.8
71,73.2,71.6
72,72.8,72.5
73,71.6,71.8
74,72.5,72.1
75,71.8,72.3
76,72.1,72.6
77,72.3,73.0
78,72.6,73.4
79,73.0,73.2
80,73.4,72.9
81,73.2,72.1
82,72.9,72.1
83,72.1,72.8
84,72.1,72.6
85,72.8,72.6
86,72.6,72.4
87,72.6,73.1
88,72.4,73.2
89,73.1,73.3
90,73.2,73.2
91,73.3,72.8
92,73.2,73.1
93,72.8,72.4
94,73.1,72.3
95,72.4,72.2
96,72.3,72.2
97,72.2,72.7
98,72.2,73.5
99,72.7,72.8
100,73.5,72.6
101,72.8,72.1
102,72.6,70.7
103,72.1,71.5
104,70.7,71.8
105,71.5,72.2
106,71.8,71.8
107,72.2,71.9
108,71.8,71.6
109,71.9,72.1
110,71.6,70.7
111,72.1,71.9
112,70.7,71.7
113,71.9,71.8
114,71.7,71.4
115,71.8,71.6
116,71.4,69.8
117,71.6,70.5
118,69.8,71.3
119,70.5,71.7
120,71.3,70.8
121,71.7,70.4
122,70.8,70.5
123,70.4,70.0
124,70.5,71.3
125,70.0,70.9
126,71.3,70.4
127,70.9,69.7
128,70.4,70.5
129,69.7,69.4
130,70.5,69.5
131,69.4,69.4
132,69.5,70.1
133,69.4,70.3
134,70.1,70.0
135,70.3,68.3
136,70.0,69.1
137,68.3,69.9
138,69.1,70.1
139,69.9,69.7
140,70.1,69.8
141,69.7,69.4
142,69.8,68.9
143,69.4,67.0
144,68.9,66.2
145,67.0,68.3
146,66.2,68.5
147,68.3,69.8
148,68.5,69.8
149,69.8,69.0
150,69.8,68.6
151,69.0,68.3
152,68.6,68.6
153,68.3,69.7
154,68.6,69.0
155,69.7,68.9
156,69.0,68.1
157,68.9,68.6
158,68.1,69.2
159,68.6,68.2
160,69.2,69.2
161,68.2,69.8
162,69.2,70.5
163,69.8,71.2
164,70.5,69.8
165,71.2,69.6
166,69.8,69.6
167,69.6,69.2
168,69.6,69.3
169,69.2,69.3
170,69.3,68.2
171,69.3,69.8
172,68.2,69.9
173,69.8,69.9
174,69.9,70.2
175,69.9,69.8
176,70.2,70.7
177,69.8,70.5
178,70.7,69.5
179,70.5,68.9
180,69.5,70.0
181,68.9,71.1
182,70.0,69.6
183,71.1,69.2
184,69.6,69.6
185,69.2,69.9
186,69.6,69.3
187,69.9,68.5
188,69.3,68.4
189,68.5,67.3
190,68.4,66.5
191,67.3,65.2
192,66.5,66.7
193,65.2,67.3
194,66.7,67.0
195,67.3,67.5
196,67.0,66.4
197,67.5,66.6
198,66.4,66.2
199,66.6,66.1
200,66.2,65.1
201,66.1,64.2
202,65.1,63.0
203,64.2,63.5
204,63.0,63.8
205,63.5,64.4
206,63.8,62.7
207,64.4,61.5
208,62.7,62.6
209,61.5,61.9
210,62.6,62.5
211,61.9,63.1
212,62.5,63.0
213,63.1,61.6
214,63.0,61.5
215,61.6,61.0
216,61.5,61.8
217,61.0,61.0
218,61.8,61.3
219,61.0,62.9
220,61.3,64.5
221,62.9,66.4
222,64.5,68.5
223,66.4,68.6
224,68.5,68.8
225,68.6,70.0
226,68.8,70.7
227,70.0,70.3
228,70.7,69.8
229,70.3,70.2
230,69.8,69.6
231,70.2,67.8
232,69.6,67.6
233,67.8,69.4
234,67.6,69.6
235,69.4,69.2
236,69.6,68.3
237,69.2,69.0
238,68.3,69.2
239,69.0,69.9
240,69.2,69.6
241,69.9,69.6
242,69.6,70.0
243,69.6,70.4
244,70.0,69.8
245,70.4,70.6
246,69.8,70.9
247,70.6,69.5
248,70.9,70.0
249,69.5,70.8
250,70.0,70.5
251,70.8,70.2
252,70.5,70.3
253,70.2,70.1
254,70.3,70.6
255,70.1,70.5
256,70.6,69.7
257,70.5,69.6
258,69.7,69.7
259,69.6,68.6
260,69.7,70.2
261,68.6,69.2
262,70.2,69.9
263,69.2,69.2
264,69.9,69.3
265,69.2,69.0
